Codice," Articolo"," Posizione Live",Appunti,Categoria,Descrizione,Etichetta Messa?,Parent item,Prenotazione,Stato,Sub-item
OB-LMX-2060C-003,Obiettivo 20-60 S + “accessorio obiettivo”,Studio,,"Videocamera, Videocamere",,SI,,,Operativo e funzionate,
OB-LMX-2470-001,Obiettivo 24-70 S,Studio,,"Videocamera, Videocamere",,SI,,,Operativo e funzionate,
SC-RLE-001,"Cavalletto Rollei ",Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
SC-RLE-002,"Cavalletto Rollei ",Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
SC-MFT-X-001,Cavalletto Manfrotto 190X,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
SC-MFT-B-001,Cavalletto Manfrotto piccolo MTPIXI-B,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
SC-KF-28-001,Cavalletto K&F Concept KF-28,Studio,"Se si smolla testina, c’è la brugola in ufficio","Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
TPL-NWR-001,Teleprompter Neewer,Studio,,"Accessorio, Videocamere",,NO,,,Operativo e funzionate,
SC-TPL-NWR-001,Stativo Teleprompter Neewer,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
TE-TPL-NWR-001,Telecomando Teleprompter Neewer,Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-001,Batteria fotocamera Lumix (originale),Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-002,Batteria fotocamera Lumix (originale),Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-003,Batteria fotocamera Lumix (originale),Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-004,Batteria fotocamera Lumix (originale),Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-005,"Batteria fotocamera Lumix ",Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-006,"Batteria fotocamera Lumix ",Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
SD-SDK-64-001,Scheda SD SanDisk Ultra 64GB (4),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
SD-SDK-64-002,Scheda SD SanDisk Ultra 64GB (5),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
SD-SDK-128-001,Scheda SD SanDisk Extreme PRO 128GB (3),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
SD-LXR-128-002,Scheda SD Lexmar PROFESSIONAL 128GB (2),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
SD-LXR-128-001,Scheda SD Lexmar PROFESSIONAL 128GB (1),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
MSD-SDK-128-001,Scheda MicroSD SanDisk Extreme 128GB (M1),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
MSD-SDK-128-002,Scheda MicroSD SanDisk Extreme 128GB (M2),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
MSD-SDK-128-003,Scheda MicroSD SanDisk Extreme 128GB (M3),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
SC-MFT-B-002,Cavalletto Manfrotto piccolo MTPIXI-B,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
,,,,,,,,,,
MIC-SHR-001,Microfono Shure SM7B (1),Studio,Gli mancano 2 viti,"Audio, Microfono",,SI,,,Operativo e funzionate,
MIC-SHR-002,Microfono Shure SM7B (2),Studio,,"Audio, Microfono",,SI,,,Operativo e funzionate,
MIC-SHR-003,Microfono Shure SM7B (3),Studio,,"Audio, Microfono",,SI,,,Operativo e funzionate,
MIC-SHR-004,Microfono Shure SM7B (4),Studio,,"Audio, Microfono",,SI,,,Operativo e funzionate,
C-MIC-SHR-001," ROSSO 1 Cavo Microfono Shure ",Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
C-MIC-SHR-002,"VERDE 1 Cavo Microfono Shure ",Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
C-MIC-SHR-003,"BLU 1 Cavo Microfono Shure ",Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
SC-MIC-SHR-001,Stativo Microfono Shure da terra,Studio,,"Audio, Stativo/Cavaletto",,?,,,Operativo e funzionate,
SC-MIC-SHR-002,Stativo Microfono Shure da terra,Studio,,"Audio, Stativo/Cavaletto",,?,,,Operativo e funzionate,
SC-MIC-SHR-003,Stativo Microfono Shure da terra,Studio,,"Audio, Stativo/Cavaletto",,?,,,Operativo e funzionate,
SC-MIC-SHR-004,Stativo Microfono Shure da terra,Studio,,"Audio, Stativo/Cavaletto",,?,,,Operativo e funzionate,
RC-RODE-001,RodeCaster PRO 1,Studio,,"Accessorio, Audio",,SI,,,Operativo e funzionate,
,Stativo da tavolo Microfono Shure,,,,,?,,,,
,Stativo da tavolo Microfono Shure,,,,,?,,,,
,Stativo da tavolo Microfono Shure,,,,,?,,,,
,Stativo da tavolo Microfono Shure,,,,,?,,,,
,,,,,,,,,,
,Ciabatta Elettrica Bianca,,,,,?,,,,
,Ciabatta Elettrica Nera,,,,,?,,,,
,Prolunga Shuko bianca,,,,,?,,,,
,Prolunga Bianca,,,,,?,,,,
C-RC-RODE-001,Alimentatore RodeCaster PRO 1,Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
RC-RODE-002,RodeCaster PRO 2,Studio,,"Accessorio, Audio",,NO,,,Operativo e funzionate,
SC-ISY-001,Cavalletto ISY,,,,,,,,,
BT-LMX-007,,,,,,,,,,
,,,,,,,,,,
,microfono lavalier,,,Audio,,,,,,
,prulunga microfono lavalier,,,Audio,,,,,,
,prulunga microfono lavalier,,,Audio,,,,,,
SSD-SDK-001,SSD SanDisk 1TB,Matteo,da formattare,Memoria,,SI,,,In riparazione,
MIC-DJI-001,Microfoni DJI,Studio,,,,SI,,,,
SC-NWR-001,Stativo NEEWER,,,,,?,,,,
SC-NWR-002,Stativo NEEWER,,,,,?,,,,
SC-NWR-003,Stativo NEEWER,,,,,?,,,,
,"ca capire quelli delle luci se cambiare codice ",,,,,?,,,,
BT-LMX-008,,,,,,,,,,
,,,,,,,,,,
,Supporto da tavolo microfono tipo 1,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
,Supporto da tavolo microfono tipo 1,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
,Supporto da tavolo microfono tipo 2,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
,Supporto da tavolo microfono tipo 2,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
,Cavalletto microfono da terra,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
,Cavalletto microfono da terra,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
,Cavalletto microfono da terra,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
