Etichetta Messa?,Codice," Articolo",Descrizione," Posizione Live",Categoria,Stato,Appunti
SI,SD-LXR-128-002,Scheda SD Lexmar PROFESSIONAL 128GB (2),,Studio,"Accessorio, Memoria, Videocamere",Operativo e funzionate,
SI,SD-LXR-128-001,Scheda SD Lexmar PROFESSIONAL 128GB (1),,Studio,"Accessorio, Memoria, Videocamere",Operativo e funzionate,
SI,MSD-SDK-128-001,Scheda MicroSD SanDisk Extreme 128GB (M1),,Studio,"Accessorio, Memoria, Videocamere",Operativo e funzionate,
SI,MSD-SDK-128-002,Scheda MicroSD SanDisk Extreme 128GB (M2),,Studio,"Accessorio, Memoria, Videocamere",Operativo e funzionate,
SI,MSD-SDK-128-003,Scheda MicroSD SanDisk Extreme 128GB (M3),,Studio,"Accessorio, Memoria, Videocamere",Operativo e funzionate,
,,,,,,,
SI,MIC-SHR-001,Microfono Shure SM7B (1),,Studio,"Audio, Microfono",Operativo e funzionate,Gli mancano 2 viti
SI,MIC-SHR-002,Microfono Shure SM7B (2),,Studio,"Audio, Microfono",Operativo e funzionate,
SI,MIC-SHR-003,Microfono Shure SM7B (3),,Studio,"Audio, Microfono",Operativo e funzionate,
SI,MIC-SHR-004,Microfono Shure SM7B (4),,Studio,"Audio, Microfono",Operativo e funzionate,
SI,C-MIC-SHR-001," ROSSO 1 Cavo Microfono Shure ",,Studio,"Audio, Cavo",Operativo e funzionate,
SI,C-MIC-SHR-002,"VERDE 1 Cavo Microfono Shure ",,Studio,"Audio, Cavo",Operativo e funzionate,
SI,C-MIC-SHR-003,"BLU 1 Cavo Microfono Shure ",,Studio,"Audio, Cavo",Operativo e funzionate,
SI,C-MIC-SHR-004,"GIALLO 1 Cavo Microfono Shure ",,Studio,"Audio, Cavo",Operativo e funzionate,
SI,C-MIC-SHR-005,ARANCIONE 1 Cavo Microfono Shure CORTO,,Studio,"Audio, Cavo",Operativo e funzionate,
SI,C-MIC-SHR-006,AZZURRO 1 Cavo Microfono Shure LUNGO,,Studio,"Audio, Cavo",Operativo e funzionate,
?,SC-MIC-SHR-001,Stativo Microfono Shure da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
?,SC-MIC-SHR-002,Stativo Microfono Shure da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
?,SC-MIC-SHR-003,Stativo Microfono Shure da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
?,SC-MIC-SHR-004,Stativo Microfono Shure da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
SI,RC-RODE-001,RodeCaster PRO 1,,Studio,"Accessorio, Audio",Operativo e funzionate,
SI,C-RC-RODE-001,Alimentatore RodeCaster PRO 1,,Studio,"Audio, Cavo",Operativo e funzionate,
NO,RC-RODE-002,RodeCaster PRO 2,,Studio,"Accessorio, Audio",Operativo e funzionate,
NO,C-RC-RODE-002,Alimentatore RodeCaster PRO 2,,Studio,"Audio, Cavo",Operativo e funzionate,
,,,,,,,
?,,Stativo da tavolo Microfono Shure,,,,,
?,,Stativo da tavolo Microfono Shure,,,,,
?,,Stativo da tavolo Microfono Shure,,,,,
?,,Stativo da tavolo Microfono Shure,,,,,
,,,,,,,
?,,Ciabatta Elettrica Bianca,,,,,
?,,Ciabatta Elettrica Nera,,,,,
?,,Prolunga Shuko bianca,,,,,
?,,Prolunga Bianca,,,,,
,,,,,,,
,,prulunga microfono lavalier,,,Audio,,
,,prulunga microfono lavalier,,,Audio,,
,,microfono lavalier,,,Audio,,
SI,SSD-SDK-001,SSD SanDisk 1TB,,Matteo,Memoria,In riparazione,da formattare
SI,SSD-SDK-002,SSD SanDisk 1TB,,Vittorio,Memoria,In riparazione,da formattare
SI,HSS-WD-001,HDD WD 5TB,,Matteo,Memoria,In riparazione,da formattare
SI,MIC-DJI-001,Microfoni DJI,,Studio,,,
?,SC-NWR-001,Stativo NEEWER,,,,,
?,SC-NWR-002,Stativo NEEWER,,,,,
?,SC-NWR-003,Stativo NEEWER,,,,,
?,,"ca capire quelli delle luci se cambiare codice ",,,,,
NO,,Supporto da tavolo microfono tipo 1,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Supporto da tavolo microfono tipo 1,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Supporto da tavolo microfono tipo 2,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Supporto da tavolo microfono tipo 2,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Cavalletto microfono da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Cavalletto microfono da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Cavalletto microfono da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
NO,,Cavalletto microfono da terra,,Studio,"Audio, Stativo/Cavaletto",Operativo e funzionate,
,,,,,,,
SI,CF-OO-001,Cuffie Rosse OneOdio,,Studio,"Accessorio, Audio",Operativo e funzionate,
SI,CF-OO-002,Cuffie Rosse OneOdio,,Studio,"Accessorio, Audio",Operativo e funzionate,
SI,CF-OO-003,Cuffie Rosse OneOdio,,Studio,"Accessorio, Audio",Operativo e funzionate,
,,,,,,,
SI,TAV-NRA-001,Tavolo nero Alto,,Studio,Arredamento,Operativo e funzionate,
SI,TAV-NRB-001,Tavolino nero basso,,Studio,Arredamento,Operativo e funzionate,
SI,L-ORO-001,Lampada da terra oro,,Studio,"Arredamento, Luci",Operativo e funzionate,
SI,PL-MAR-001,Panello led Marangoni,,Studio,Arredamento,Operativo e funzionate,
SI,FD-MAR-001,Fondale Marangoni,,Studio,"Arredamento, Luci",Operativo e funzionate,
SI,SC-TFG-003,Stativo Fondale Grande,,,,,
SI,FD-MAT-001,Fondale Mattoni,,Studio,Arredamento,Operativo e funzionate,
SI,SC-TFG-001,Stativo Fondale Grande,,,,,
SI,FD-LIB-001,"Fondale libreria ",,Studio,Arredamento,Operativo e funzionate,
,,,,,,,
SI,SC-TFP-001,Stativo Fondale Piccolo,,,,,
SI,SC-TFP-002,Stativo Fondale Piccolo,,,,,
SI,SC-PFP-001,Palo orizzontale Fondale Piccolo,,,,,
,,,,,,,
SI,TAB-SMG-001,Tablet Samsung,,,,,
,,,,,,,
,,"Cavo corto USB-C
Silkland",,Studio,Cavo,Operativo e funzionate,
,,Cavo Anker 1.8 USB-C,,Studio,Cavo,Operativo e funzionate,
,,Cavo Anker 1.8 USB-C,,Studio,Cavo,Operativo e funzionate,
,,Alimentatore Anker,,Studio,"Accessorio, Cavo",Operativo e funzionate,
,,,,,,,
NO,,Zaino Trolley NEEWER 1,,,,,
NO,,Zaino Trolley NEEWER 2,,,,,
NO,,Stativo Nuovo 1,,,,,
NO,,Stativo Nuovo 2,,,,,
NO,,Stativo Nuovo 3,,,,,
SI,MIC-SHR-007,Microfono Shure MV7X (7),,Studio,"Audio, Microfono",Operativo e funzionate,
SI,MIC-SHR-006,Microfono Shure MV7X (6),,Studio,"Audio, Microfono",Operativo e funzionate,
SI,MIC-SHR-005,Microfono Shure MV7X (5),,Studio,"Audio, Microfono",Operativo e funzionate,
SI,SC-MFT-X-002R,Testina Manfrotto BeFree regolabile,,Studio,"Stativo/Cavaletto, Videocamere",Operativo e funzionate,
SI,SC-MFT-X-002B,Testina Manfrotto BeFree Ball,,Studio,"Stativo/Cavaletto, Videocamere",Operativo e funzionate,
SI,SC-MFT-X-002,Cavalletto Manfrotto BeFree,,Studio,"Stativo/Cavaletto, Videocamere",Operativo e funzionate,
SI,BT-LMX-007,"Batteria fotocamera Lumix ",,Studio,"Accessorio, Videocamere",Operativo e funzionate,
SI,BT-LMX-008,"Batteria fotocamera Lumix ",,Studio,"Accessorio, Videocamere",Operativo e funzionate,
SI,MSD-SDK-128-004,Scheda (black) MicroSD SanDisk Extreme 128GB (R1),,Studio,"Accessorio, Memoria, Videocamere",Operativo e funzionate,
SI,HDMI-15M-01,Cavo HDMI 15M (Viola 1),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,HDMI-15M-02,Cavo HDMI 15M (Arancione 2),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,HDMI-15M-03,Cavo HDMI 15M (Verde 3),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,HDMI-15M-04,Cavo HDMI 15M (Azzurro 4),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,HDMI-15M-05,Cavo HDMI 15M (Giallo 5),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,USBC-3M-01,Cavo USB-C 3M (Viola),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,USBC-3M-02,Cavo USB-C 3M  (Arancione),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,USBC-3M-03,Cavo USB-C 3M (Verde),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,USBC-3M-04,Cavo USB-C 3M  (Azzurro),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,USBC-3M-05,Cavo USB-C 3M  (Giallo),,Studio,"Cavo, Videocamere",Operativo e funzionate,
SI,XLR-15M-01,Cavo XLR 15M (Arancione),,Studio,"Audio, Cavo",Operativo e funzionate,
SI,XLR-15M-02,Cavo XLR 15M (Verde),,Studio,"Audio, Cavo",Operativo e funzionate,
SI,XLR-15M-03,Cavo XLR 15M (Azzurro),,Studio,"Audio, Cavo",Operativo e funzionate,
SI,XLR-15M-04,Cavo XLR 15M (Giallo),,Studio,"Audio, Cavo",Operativo e funzionate,
SI,CRG-UGN-001,Charger Ugreen 200W,,Studio,Accessorio,Operativo e funzionate,
SI,SSD-SDK-003,SSD SanDisk 2 TB,,Matteo,Memoria,Operativo e funzionate,
,,,,,Memoria,,
SI,SSD-SDK-004,SSD SanDisk 2 TB,,Matteo,Memoria,Operativo e funzionate,
SI,HSS-WD-002,HDD WD 5TB,,Matteo,Memoria,In riparazione,da formattare
,,,,,Luci,,
,,,,,Videocamere,,
SI,SSD-SDK-005,SSD SanDisk 1 TB,,Vittorio,Memoria,Operativo e funzionate,
